Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume,Name
2018-03-27,54.37,54.98,53.45,53.78,6596653.0,0.0,1.0,54.37,54.98,53.45,53.78,6596653.0,AIG
2018-03-26,54.07,54.8573,53.81,54.21,6966186.0,0.0,1.0,54.07,54.8573,53.81,54.21,6966186.0,AIG
2018-03-23,55.0,55.32,53.34,53.41,8134847.0,0.0,1.0,55.0,55.32,53.34,53.41,8134847.0,AIG
2018-03-22,55.3,55.93,54.73,54.81,9080925.0,0.0,1.0,55.3,55.93,54.73,54.81,9080925.0,AIG
2018-03-21,55.63,56.3952,55.26,55.84,10134544.0,0.0,1.0,55.63,56.3952,55.26,55.84,10134544.0,AIG
2018-03-20,54.64,55.82,54.6,55.63,8973669.0,0.0,1.0,54.64,55.82,54.6,55.63,8973669.0,AIG
2018-03-19,54.37,54.765,53.98,54.45,6517192.0,0.0,1.0,54.37,54.765,53.98,54.45,6517192.0,AIG
2018-03-16,54.66,54.9,54.03,54.3,10738627.0,0.0,1.0,54.66,54.9,54.03,54.3,10738627.0,AIG
2018-03-15,54.93,55.18,54.545,54.66,7259919.0,0.0,1.0,54.93,55.18,54.545,54.66,7259919.0,AIG
2018-03-14,55.76,55.87,54.61,54.93,8002252.0,0.0,1.0,55.76,55.87,54.61,54.93,8002252.0,AIG
2018-03-13,56.77,56.97,55.63,55.94,7638221.0,0.0,1.0,56.77,56.97,55.63,55.94,7638221.0,AIG
2018-03-12,56.68,57.475,56.42,56.61,7546564.0,0.0,1.0,56.68,57.475,56.42,56.61,7546564.0,AIG
2018-03-09,56.68,56.945,55.98,56.57,9673262.0,0.0,1.0,56.68,56.945,55.98,56.57,9673262.0,AIG
2018-03-08,57.44,57.47,55.53,56.27,11976139.0,0.0,1.0,57.44,57.47,55.53,56.27,11976139.0,AIG
2018-03-07,57.56,58.21,57.17,57.31,5873081.0,0.0,1.0,57.56,58.21,57.17,57.31,5873081.0,AIG
2018-03-06,57.9,58.25,57.075,58.03,5487355.0,0.0,1.0,57.9,58.25,57.075,58.03,5487355.0,AIG
2018-03-05,56.32,57.895,56.32,57.62,9483055.0,0.0,1.0,56.32,57.895,56.32,57.62,9483055.0,AIG
2018-03-02,56.11,56.61,55.07,56.51,8434967.0,0.0,1.0,56.11,56.61,55.07,56.51,8434967.0,AIG
2018-03-01,57.34,57.61,56.08,56.47,9758593.0,0.0,1.0,57.34,57.61,56.08,56.47,9758593.0,AIG
2018-02-28,58.58,58.85,57.34,57.34,9155017.0,0.0,1.0,58.58,58.85,57.34,57.34,9155017.0,AIG
2018-02-27,58.98,59.63,58.155,58.23,8521584.0,0.0,1.0,58.98,59.63,58.155,58.23,8521584.0,AIG
2018-02-26,59.97,60.2,58.47,59.01,11757037.0,0.0,1.0,59.97,60.2,58.47,59.01,11757037.0,AIG
2018-02-23,60.24,60.5,59.59,60.07,5572839.0,0.0,1.0,60.24,60.5,59.59,60.07,5572839.0,AIG
2018-02-22,60.32,60.96,59.87,59.96,23162798.0,0.0,1.0,60.32,60.96,59.87,59.96,23162798.0,AIG
2018-02-21,59.81,61.36,59.74,60.18,7070851.0,0.0,1.0,59.81,61.36,59.74,60.18,7070851.0,AIG
2018-02-20,59.27,60.16,59.23,60.04,5342095.0,0.0,1.0,59.27,60.16,59.23,60.04,5342095.0,AIG
2018-02-16,59.1,59.905,58.91,59.47,6817689.0,0.0,1.0,59.1,59.905,58.91,59.47,6817689.0,AIG
2018-02-15,59.66,59.8,58.97,59.23,7847108.0,0.0,1.0,59.66,59.8,58.97,59.23,7847108.0,AIG
2018-02-14,59.12,59.62,58.68,59.41,6704756.0,0.0,1.0,59.12,59.62,58.68,59.41,6704756.0,AIG
2018-02-13,59.13,59.745,58.68,59.43,4890405.0,0.0,1.0,59.13,59.745,58.68,59.43,4890405.0,AIG
2018-02-12,60.35,60.4202,59.14,59.61,6021350.0,0.0,1.0,60.35,60.4202,59.14,59.61,6021350.0,AIG
2018-02-09,61.35,61.7,58.35,60.22,15102569.0,0.0,1.0,61.35,61.7,58.35,60.22,15102569.0,AIG
2018-02-08,60.45,60.62,58.27,58.28,7320802.0,0.0,1.0,60.45,60.62,58.27,58.28,7320802.0,AIG
2018-02-07,60.0,61.3,59.68,60.47,7682247.0,0.0,1.0,60.0,61.3,59.68,60.47,7682247.0,AIG
2018-02-06,59.68,60.68,59.04,60.26,12003228.0,0.0,1.0,59.68,60.68,59.04,60.26,12003228.0,AIG
2018-02-05,62.29,62.6,60.45,60.63,8495370.0,0.0,1.0,62.29,62.6,60.45,60.63,8495370.0,AIG
2018-02-02,63.88,63.97,62.87,63.04,4253977.0,0.0,1.0,63.88,63.97,62.87,63.04,4253977.0,AIG
2018-02-01,63.74,64.275,63.295,64.17,4120508.0,0.0,1.0,63.74,64.275,63.295,64.17,4120508.0,AIG
2018-01-31,63.67,64.101,63.34,63.92,4829768.0,0.0,1.0,63.67,64.101,63.34,63.92,4829768.0,AIG
2018-01-30,63.57,64.32,63.11,63.35,4519616.0,0.0,1.0,63.57,64.32,63.11,63.35,4519616.0,AIG
2018-01-29,64.64,65.05,64.22,64.26,4179261.0,0.0,1.0,64.64,65.05,64.22,64.26,4179261.0,AIG
2018-01-26,64.62,64.91,64.24,64.68,4651367.0,0.0,1.0,64.62,64.91,64.24,64.68,4651367.0,AIG
2018-01-25,64.35,64.885,63.83,64.8,5689036.0,0.0,1.0,64.35,64.885,63.83,64.8,5689036.0,AIG
2018-01-24,62.47,64.5368,62.41,64.32,10293445.0,0.0,1.0,62.47,64.5368,62.41,64.32,10293445.0,AIG
2018-01-23,60.85,62.5,60.71,62.34,9645018.0,0.0,1.0,60.85,62.5,60.71,62.34,9645018.0,AIG
2018-01-22,61.36,61.36,60.44,61.0,7172702.0,0.0,1.0,61.36,61.36,60.44,61.0,7172702.0,AIG
2018-01-19,61.67,61.85,61.33,61.55,6472158.0,0.0,1.0,61.67,61.85,61.33,61.55,6472158.0,AIG
2018-01-18,61.56,61.78,61.03,61.53,5262841.0,0.0,1.0,61.56,61.78,61.03,61.53,5262841.0,AIG
2018-01-17,61.4,61.59,61.185,61.42,4870221.0,0.0,1.0,61.4,61.59,61.185,61.42,4870221.0,AIG
2018-01-16,61.14,61.3,60.89,61.06,5871198.0,0.0,1.0,61.14,61.3,60.89,61.06,5871198.0,AIG
2018-01-12,60.95,61.22,60.79,60.97,6224622.0,0.0,1.0,60.95,61.22,60.79,60.97,6224622.0,AIG
2018-01-11,61.24,61.46,61.05,61.15,6466984.0,0.0,1.0,61.24,61.46,61.05,61.15,6466984.0,AIG
2018-01-10,60.64,61.35,60.55,61.0,12212346.0,0.0,1.0,60.64,61.35,60.55,61.0,12212346.0,AIG
2018-01-09,60.36,61.275,60.25,60.63,6654089.0,0.0,1.0,60.36,61.275,60.25,60.63,6654089.0,AIG
2018-01-08,60.46,60.53,60.141000000000005,60.25,3073737.0,0.0,1.0,60.46,60.53,60.141000000000005,60.25,3073737.0,AIG
2018-01-05,60.64,60.79,60.37,60.65,3689781.0,0.0,1.0,60.64,60.79,60.37,60.65,3689781.0,AIG
2018-01-04,60.42,61.05,60.28,60.4,4113355.0,0.0,1.0,60.42,61.05,60.28,60.4,4113355.0,AIG
2018-01-03,59.38,60.28,59.27,60.16,4959154.0,0.0,1.0,59.38,60.28,59.27,60.16,4959154.0,AIG
2018-01-02,60.0,60.0,59.12,59.5,3759538.0,0.0,1.0,60.0,60.0,59.12,59.5,3759538.0,AIG
2017-12-29,59.97,60.21,59.58,59.58,2800229.0,0.0,1.0,59.97,60.21,59.58,59.58,2800229.0,AIG
2017-12-28,59.7,60.02,59.44,60.0,2336270.0,0.0,1.0,59.7,60.02,59.44,60.0,2336270.0,AIG
2017-12-27,59.29,59.56,59.19,59.54,2663386.0,0.0,1.0,59.29,59.56,59.19,59.54,2663386.0,AIG
2017-12-26,59.22,59.79,59.19,59.43,2358258.0,0.0,1.0,59.22,59.79,59.19,59.43,2358258.0,AIG
2017-12-22,60.225,60.36,59.11,59.31,4263699.0,0.0,1.0,60.225,60.36,59.11,59.31,4263699.0,AIG
2017-12-21,60.3,60.67,60.02,60.08,4793024.0,0.0,1.0,60.3,60.67,60.02,60.08,4793024.0,AIG
2017-12-20,59.97,60.14,59.585,60.0,4147877.0,0.0,1.0,59.97,60.14,59.585,60.0,4147877.0,AIG
2017-12-19,59.85,60.08,59.7459,59.78,3790227.0,0.0,1.0,59.85,60.08,59.7459,59.78,3790227.0,AIG
2017-12-18,59.76,60.04,59.32,59.58,5284888.0,0.0,1.0,59.76,60.04,59.32,59.58,5284888.0,AIG
2017-12-15,58.56,59.515,58.37,59.39,8159188.0,0.0,1.0,58.56,59.515,58.37,59.39,8159188.0,AIG
2017-12-14,59.07,59.15,57.85,58.11,6812626.0,0.0,1.0,59.07,59.15,57.85,58.11,6812626.0,AIG
2017-12-13,59.92,59.93,58.92,58.97,5268081.0,0.0,1.0,59.92,59.93,58.92,58.97,5268081.0,AIG
2017-12-12,59.75,60.1517,59.66,59.93,3497660.0,0.0,1.0,59.75,60.1517,59.66,59.93,3497660.0,AIG
2017-12-11,59.36,59.82,59.215,59.79,4146589.0,0.0,1.0,59.36,59.82,59.215,59.79,4146589.0,AIG
2017-12-08,59.63,59.67,59.19,59.51,3383985.0,0.0,1.0,59.63,59.67,59.19,59.51,3383985.0,AIG
2017-12-07,59.82,60.03,59.415,59.55,3590633.0,0.0,1.0,59.82,60.03,59.415,59.55,3590633.0,AIG
2017-12-06,59.75,60.57,59.72,60.03,4197045.0,0.0,1.0,59.75,60.57,59.72,60.03,4197045.0,AIG
2017-12-05,59.25,59.94,58.92,59.53,4848000.0,0.0,1.0,59.25,59.94,58.92,59.53,4848000.0,AIG
2017-12-04,60.42,60.48,59.04,59.26,5805284.0,0.0,1.0,60.42,60.48,59.04,59.26,5805284.0,AIG
2017-12-01,60.07,60.2,58.98,59.88,4520292.0,0.0,1.0,60.07,60.2,58.98,59.88,4520292.0,AIG
2017-11-30,60.63,60.63,59.685,59.96,6505682.0,0.0,1.0,60.63,60.63,59.685,59.96,6505682.0,AIG
2017-11-29,60.14,61.095,60.03,60.3,7692124.0,0.0,1.0,60.14,61.095,60.03,60.3,7692124.0,AIG
2017-11-28,58.76,60.03,58.5216,59.82,6646298.0,0.0,1.0,58.76,60.03,58.5216,59.82,6646298.0,AIG
2017-11-27,59.1,59.19,58.69,58.76,4138130.0,0.0,1.0,59.1,59.19,58.69,58.76,4138130.0,AIG
2017-11-24,59.46,59.48,58.98,59.03,1744091.0,0.0,1.0,59.46,59.48,58.98,59.03,1744091.0,AIG
2017-11-22,59.56,59.67,59.23,59.23,2992633.0,0.0,1.0,59.56,59.67,59.23,59.23,2992633.0,AIG
2017-11-21,59.84,59.97,59.52,59.63,3841962.0,0.0,1.0,59.84,59.97,59.52,59.63,3841962.0,AIG
2017-11-20,60.0,60.02,59.3,59.69,6302773.0,0.0,1.0,60.0,60.02,59.3,59.69,6302773.0,AIG
2017-11-17,59.78,60.15,59.411,60.06,5557309.0,0.0,1.0,59.78,60.15,59.411,60.06,5557309.0,AIG
2017-11-16,61.35,61.41,59.95,60.06,5560893.0,0.0,1.0,61.35,61.41,59.95,60.06,5560893.0,AIG
2017-11-15,61.05,61.66,60.92,61.14,4069179.0,0.0,1.0,61.05,61.66,60.92,61.14,4069179.0,AIG
2017-11-14,61.61,61.92,61.26,61.46,6792092.0,0.0,1.0,61.61,61.92,61.26,61.46,6792092.0,AIG
2017-11-13,61.68,62.1,61.6,62.0,3596945.0,0.0,1.0,61.68,62.1,61.6,62.0,3596945.0,AIG
